"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"24" -4074.84627875666 -3989.87166095892 -4020.07328425019 -4048.68600532672 -4043.01408353842 -4011.0615716239 -3994.65694532574 -3983.35897243431 -4058.77156610338 -3997.37555325739 -4056.04311812701 -4077.90653467283 -4078.11520145689 -4068.12309669258 -4017.47377418654 -4048.9943617034 -4022.25070477724 -4076.63258513112 -3979.63621272524 -4049.00161821332
"25" -4074.66828792699 -3989.56160181122 -4019.64138947759 -4046.04823091354 -4042.72751862778 -4010.69624559712 -3993.96743383535 -3983.1354741751 -4056.19509755331 -3997.11181349409 -4055.98257725468 -4076.0099414697 -4076.43237708702 -4068.01521625816 -4017.1718379539 -4048.40042578517 -4020.35482283383 -4076.45205723765 -3979.41114691241 -4046.70303788807
"26" -4074.49111012747 -3989.28232139509 -4019.27027704777 -4043.09738176681 -4042.47776553047 -4010.37595986605 -3993.46092947003 -3982.93655238762 -4054.0851816793 -3996.87118273455 -4055.9187256785 -4073.8902659079 -4074.62291424449 -4067.90957883431 -4016.9054617664 -4047.92805720325 -4018.51991710104 -4076.26143413992 -3979.20821838832 -4044.78396248246
"27" -4074.31199422939 -3989.02800009845 -4018.95111075885 -4039.90333483496 -4042.25685001335 -4010.09426682309 -3993.06225804952 -3982.75788247614 -4052.35414416025 -3996.65069709851 -4055.85078410529 -4071.58710315431 -4072.7141665022 -4067.80595832413 -4016.66740620799 -4047.5520056746 -4016.77571364755 -4076.05716104588 -3979.0238425384 -4043.23310380915
"28" -4074.12836068486 -3988.79419673525 -4018.67633920488 -4036.58503563539 -4042.05862170946 -4009.8457282008 -3992.73308662779 -3982.5960455879 -4050.90950727577 -3996.44797504273 -4055.77791826488 -4069.17393498921 -4070.75120049597 -4067.70442817665 -4016.45277746668 -4047.25077297646 -4015.17944879377 -4075.83528339796 -3978.85525511946 -4041.98964106328
"29" -4073.93747571188 -3988.57748953992 -4018.43948725422 -4033.28652206204 -4041.87829372639 -4009.62574697716 -3992.45262936469 -3982.44832484157 -4049.67840265031 -3996.26106369776 -4055.69921537242 -4066.75258147629 -4068.79212386261 -4067.60528321812 -4016.2580967269 -4047.0068305086 -4013.78018285232 -4075.59124031261 -3978.7002925199 -4040.96691424548
"30" -4073.73607893878 -3988.37521131262 -4018.23499776772 -4030.14215890137 -4041.71211063263 -4009.43042870158 -3992.20853355354 -3982.31255057438 -4048.61053115448 -3996.08833206238 -4055.61365963827 -4064.43563330352 -4066.89866003944 -4067.50875937778 -4016.08077997556 -4046.8063235336 -4012.5926468299 -4075.31970195518 -3978.55723451426 -4040.06952347389
"31" -4073.52012211031 -3988.18525477321 -4018.0581072967 -4027.25584475582 -4041.55710599486 -4009.2564662194 -3991.99278059762 -3982.18698173146 -4047.6725903967 -3995.9283954485 -4055.52010631502 -4062.32144828145 -4065.12458098859 -4067.41458851578 -4015.91882022446 -4046.63857056087 -4011.60283978085 -4075.01436413503 -3978.42469136609 -4039.20480967211
"32" -4073.28475077561 -3988.00593000166 -4017.90474304343 -4024.70622686132 -4041.4109241643 -4009.10104357366 -3991.79979713017 -3982.07021430954 -4046.84204269318 -3995.78006140763 -4055.4172543288 -4060.47254064905 -4063.50629958597 -4067.32171582117 -4015.77058078151 -4046.49556504315 -4010.78282158362 -4074.66765067406 -3978.30152245061 -4038.30202335707
"33" -4073.0244140524 -3987.83586023705 -4017.77143326458 -4022.55044585552 -4041.27168881911 -4008.96175587664 -3991.62551860874 -3981.96111027252 -4046.10270851669 -3995.6422905418 -4055.30361828495 -4058.90737591812 -4062.0590929086 -4067.22851909305 -4015.63466086456 -4046.37156147194 -4010.10160498354 -4074.27032848266 -3978.1867772934 -4037.34370441129
"34" -4072.73286304704 -3987.67390573022 -4017.65522712918 -4020.80228378692 -4041.13790570864 -4008.83654254828 -3991.46687948967 -3981.85874208707 -4045.44215752296 -3995.51416762566 -4055.17750145949 -4057.60736291865 -4060.77946622067 -4067.13329092161 -4015.50981740396 -4046.26270871678 -4009.53073871137 -4073.81104305585 -3978.07965256635 -4036.37875731967
"35" -4072.40299451347 -3987.51910800107 -4017.55362240386 -4019.42125813043 -4041.00839039162 -4008.72363173477 -3991.32151003928 -3981.76234925708 -4044.85028136326 -3995.39487990237 -4055.03697156653 -4056.53241534678 -4059.65132610797 -4067.03445924543 -4015.39493030451 -4046.16662993658 -4009.04625248756 -4073.27577593693 -3977.97946046519 -4035.48053932379
"36" -4072.02665662456 -3987.3706488815 -4017.46450050922 -4018.33814995877 -4040.88221413302 -4008.62149404921 -3991.18754297702 -3981.67130412869 -4044.31853454699 -3995.28370043541 -4054.87983820058 -4055.63634573522 -4058.65276339914 -4066.93053781075 -4015.2889931633 -4046.08190186996 -4008.62870044482 -4072.64723474166 -3977.88560523138 -4034.68638416552
"37" -4071.5944843897 -3987.22782025082 -4017.38606888279 -4017.48507411546 -4040.75866285235 -4008.52880405669 -3991.06348364165 -3981.58508489539 -4043.83953087542 -3995.17997509426 -4054.70361887901 -4054.87696037709 -4057.76125586519 -4066.82007492827 -4015.19111045996 -4046.00752654927 -4008.26245824041 -4071.90421893278 -3977.79756552928 -4033.98686865124
"38" -4071.09577505791 -3987.09000150029 -4017.31681055852 -4016.80782773355 -4040.63720529626 -4008.44440817304 -3990.94811941039 -3981.50325422198 -4043.40682393874 -3995.08311220927 -4054.50544942578 -4054.22031370733 -4056.95665480885 -4066.70165100186 -4015.10049045426 -4045.94255928751 -4007.93487400514 -4071.02107204823 -3977.71488105897 -4033.35488243456
"39" -4070.51843276543 -3986.95664259109 -4017.25544067977 -4016.26596852586 -4040.51746757126 -4008.36729786196 -3990.84045460331 -3981.42544227378 -4043.01477878215 -3994.99257422924 -4054.28184135479 -4053.64102631935 -4056.22235700184 -4066.57386559953 -4015.01643326565 -4045.88596774264 -4007.63551440537 -4069.96745291251 -3977.63714225594 -4032.76794795437
"40" -4069.84905049382 -3986.82725116951 -4017.20086945466 -4015.82947877555 -4040.39921190909 -4008.29658720256 -3990.73966258045 -3981.3513332152 -4042.65848429618 -3994.90787091035 -4054.02816213776 -4053.12081272108 -4055.54537156758 -4066.43530169964 -4014.93831796985 -4045.83665928935 -4007.35556596764 -4068.70885718361 -3977.56398226074 -4032.21270209083
"41" -4069.07322696594 -3986.70138263655 -4017.15217090935 -4015.47570754863 -4040.28231811348 -4008.23149405856 -3990.64504981081 -3981.28065445204 -4042.33368029621 -3994.8285536956 -4053.73785112106 -4052.64662967338 -4054.91586179384 -4066.28448434781 -4014.86559135852 -4045.79356580287 -4007.08738049332 -4067.20860193126 -3977.49507057421 -4031.68205470353
"42" -4068.17623676385 -3986.57863237925 -4017.10855671831 -4015.18724820917 -4040.16676659875 -4008.17132421506 -3990.55602850954 -3981.21316805303 -4042.03668791409 -3994.75421103306 -4053.40171379758 -4052.20908575631 -4054.32650381565 -4066.1198463732 -4014.79775877584 -4045.75571340787 -4006.82413516155 -4065.43228368133 -3977.43010797777 -4031.1722158366
